County_Name,State_Abbr,Median_Income
Crisp County,GA,42745
Dade County,GA,58936
Dawson County,GA,88986
Decatur County,GA,50485
DeKalb County,GA,77683
Dodge County,GA,50152
Dooly County,GA,56545
Dougherty County,GA,46784
Douglas County,GA,80764
Early County,GA,53750
Echols County,GA,61723
Effingham County,GA,85465
Elbert County,GA,49727
Emanuel County,GA,50053
Evans County,GA,53908
Fannin County,GA,58073
Fayette County,GA,108986
Floyd County,GA,62540
Forsyth County,GA,138000
Franklin County,GA,52264
Fulton County,GA,91490
Gilmer County,GA,72542
Glascock County,GA,55250
Glynn County,GA,68546
Gordon County,GA,61997
Grady County,GA,54312
Greene County,GA,84530
Gwinnett County,GA,84823
Habersham County,GA,65622
Hall County,GA,77430
Hancock County,GA,33182
Haralson County,GA,65016
Harris County,GA,89184
Hart County,GA,57241
Heard County,GA,62907
Henry County,GA,81612
Houston County,GA,80743
Irwin County,GA,53915
Jackson County,GA,85012
Jasper County,GA,59574
Jeff Davis County,GA,40879
Jefferson County,GA,46561
Jenkins County,GA,36906
Johnson County,GA,54183
Jones County,GA,68259
Lamar County,GA,68457
Lanier County,GA,44361
Laurens County,GA,49705
Lee County,GA,88024
Liberty County,GA,59013
Lincoln County,GA,50688
Long County,GA,64747
Lowndes County,GA,55887
Lumpkin County,GA,72388
McDuffie County,GA,54058
McIntosh County,GA,50348
Macon County,GA,37177
Madison County,GA,58784
Marion County,GA,50484
Meriwether County,GA,56458
Miller County,GA,58407
Mitchell County,GA,51908
Monroe County,GA,82863
Montgomery County,GA,51188
Morgan County,GA,85692
Murray County,GA,67880
Muscogee County,GA,56622
Newton County,GA,73732
Oconee County,GA,115925
Oglethorpe County,GA,69784
Paulding County,GA,94557
Peach County,GA,68365
Pickens County,GA,75293
Pierce County,GA,56691
Pike County,GA,84184
Polk County,GA,55308
Pulaski County,GA,47688
Putnam County,GA,64163
Quitman County,GA,36838
Rabun County,GA,61466
Randolph County,GA,25425
Richmond County,GA,53197
Rockdale County,GA,72349
Schley County,GA,59647
Screven County,GA,53017
Seminole County,GA,49559
Spalding County,GA,60217
Stephens County,GA,52264
Stewart County,GA,35000
Sumter County,GA,41877
Talbot County,GA,45098
Taliaferro County,GA,48036
Tattnall County,GA,52351
Taylor County,GA,41743
Telfair County,GA,44948
Terrell County,GA,43812
Thomas County,GA,60140
Tift County,GA,53165
Toombs County,GA,54130
Towns County,GA,58400
Treutlen County,GA,43750
Troup County,GA,54905
Turner County,GA,39565
Twiggs County,GA,55439
Union County,GA,65697
Upson County,GA,50904
Walker County,GA,55887
Walton County,GA,82381
Ware County,GA,44833
Warren County,GA,46776
Washington County,GA,44009
Wayne County,GA,49562
Webster County,GA,40764
Wheeler County,GA,45262
White County,GA,69747
Whitfield County,GA,64262
Wilcox County,GA,48036
Wilkes County,GA,52542
Wilkinson County,GA,46673
Worth County,GA,57201
Hawaii County,HI,77215
Honolulu County,HI,104264
Kalawao County,HI,86250
Kauai County,HI,93612
Maui County,HI,95076
Ada County,ID,88907
Adams County,ID,59286
Bannock County,ID,64080
Bear Lake County,ID,67304
Benewah County,ID,56553
Bingham County,ID,76842
Blaine County,ID,84470
Boise County,ID,77349
Bonner County,ID,65168
Bonneville County,ID,76646
Boundary County,ID,62438
Butte County,ID,43281
Camas County,ID,55536
Canyon County,ID,72355
Caribou County,ID,66653
Cassia County,ID,67042
Clark County,ID,52083
Clearwater County,ID,57961
Custer County,ID,56957
Elmore County,ID,58976
Franklin County,ID,65991
Fremont County,ID,72767
Gem County,ID,66245
Gooding County,ID,62395
Idaho County,ID,60975
Jefferson County,ID,82952
Jerome County,ID,69338
Kootenai County,ID,77034
Latah County,ID,65179
Lemhi County,ID,52057
Lewis County,ID,49643
Lincoln County,ID,66038
Madison County,ID,58259
Minidoka County,ID,70060
Nez Perce County,ID,71466
Oneida County,ID,72563
Owyhee County,ID,59773
Payette County,ID,65723
Power County,ID,59760
Shoshone County,ID,49975
Teton County,ID,90740
Twin Falls County,ID,65338
Valley County,ID,76125
Washington County,ID,53608
Adams County,IL,64962
Alexander County,IL,43523
Bond County,IL,61603
Boone County,IL,81638
Brown County,IL,72288
Bureau County,IL,65894
Calhoun County,IL,92095
Carroll County,IL,60871
Cass County,IL,64907
Champaign County,IL,63091
Christian County,IL,59253
Clark County,IL,70625
Clay County,IL,57266
Clinton County,IL,82314
Coles County,IL,56040
Cook County,IL,81797
Crawford County,IL,67614
Cumberland County,IL,69826
DeKalb County,IL,69022
De Witt County,IL,64802
Douglas County,IL,74186
DuPage County,IL,110502
Edgar County,IL,56909
Edwards County,IL,59386
Effingham County,IL,75380
Fayette County,IL,57113
Ford County,IL,60782
Franklin County,IL,53471
Fulton County,IL,58617
Gallatin County,IL,54626
Greene County,IL,60976
Grundy County,IL,93060
Hamilton County,IL,61520
Hancock County,IL,65044
Hardin County,IL,57155
Henderson County,IL,65651
Henry County,IL,69912
Iroquois County,IL,62439
Jackson County,IL,45572
Jasper County,IL,71094
Jefferson County,IL,61102
Jersey County,IL,79104
Jo Daviess County,IL,74954
Johnson County,IL,65203
Kane County,IL,100678
Kankakee County,IL,68325
Kendall County,IL,110474
