,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
231,Boone County,Arkansas,456126,215586,220218,20322
232,Boone County,Illinois,639188,295156,292812,51220
233,Boone County,Indiana,888782,403216,403124,82442
234,Boone County,Iowa,320100,156630,151552,11918
235,Boone County,Kentucky,1670400,741708,750796,177896
236,Boone County,Missouri,2247650,876240,933896,437514
237,Boone County,Nebraska,64304,31774,30968,1562
238,Boone County,West Virginia,253876,124224,124384,5268
239,Borden County,Texas,7194,3492,3374,328
240,Bosque County,Texas,223332,102862,106924,13546
241,Bossier Parish,Louisiana,1555420,551256,541338,462826
242,Botetourt County,Virginia,407220,189870,191990,25360
243,Bottineau County,North Dakota,76520,36426,33752,6342
244,Boulder County,Colorado,3951152,1786134,1752508,412510
245,Boundary County,Idaho,155844,73722,70508,11614
246,Bourbon County,Kansas,172656,77828,80112,14716
247,Bourbon County,Kentucky,242888,108154,112216,22518
248,Bowie County,Texas,1106936,384668,378312,343956
249,Bowman County,North Dakota,35046,17086,16194,1766
250,Box Butte County,Nebraska,128806,58318,57458,13030
251,Box Elder County,Utah,727790,353616,337472,36702
252,Boyd County,Kentucky,575622,267080,275926,32616
253,Boyd County,Nebraska,21144,10220,10022,902
254,Boyle County,Kentucky,370654,161048,163700,45906
255,Bracken County,Kentucky,101248,49568,48568,3112
256,Bradford County,Florida,335458,136036,123634,75788
257,Bradford County,Pennsylvania,718488,347060,346958,24470
258,Bradley County,Arkansas,123164,41260,41964,39940
259,Bradley County,Tennessee,1327890,582702,612648,132540
260,Branch County,Michigan,542726,261430,250344,30952
261,Brantley County,Georgia,219196,100596,102814,15786
262,Braxton County,West Virginia,146974,72608,69810,4556
263,Brazoria County,Texas,4656630,1707966,1652528,1296136
264,Brazos County,Texas,2890806,1159934,1139308,591564
265,Breathitt County,Kentucky,160200,78266,77840,4094
266,Breckinridge County,Kentucky,249672,119726,117130,12816
267,Bremer County,Iowa,302006,144344,144826,12836
268,Brevard County,Florida,7541014,3081646,3137642,1321726
269,Brewster County,Texas,114120,52546,50128,11446
270,Briscoe County,Texas,17296,8090,7656,1550
272,Bristol County,Massachusetts,6981300,2938106,3090270,952924
273,Bristol County,Rhode Island,606476,273648,291516,41312
274,Bristol city,Virginia,202934,86642,94434,21858
275,Broadwater County,Montana,90240,44664,41472,4104
276,Bronx County,New York,16993078,3466796,3816664,9709618
277,Brooke County,West Virginia,263168,125098,127158,10912
278,Brookings County,South Dakota,422286,198364,188552,35370
279,Brooks County,Georgia,195532,59034,59458,77040
280,Brooks County,Texas,83682,41500,36988,5194
281,Broome County,New York,2371146,988280,1015676,367190
282,Broomfield County,Colorado,911254,398822,392142,120290
283,Broward County,Florida,23660102,7411558,7382294,8866250
284,Brown County,Illinois,75720,33078,26454,16188
285,Brown County,Indiana,186992,90494,89608,6890
286,Brown County,Kansas,112444,47362,48520,16562
287,Brown County,Minnesota,309834,151214,149916,8704
288,Brown County,Nebraska,34750,16716,16512,1522
289,Brown County,Ohio,525812,253770,255612,16430
290,Brown County,South Dakota,455366,200120,201866,53380
291,Brown County,Texas,459680,209070,213800,36810
292,Brown County,Wisconsin,3246408,1402666,1416354,427388
293,Brule County,South Dakota,63320,26852,25904,10564
294,Brunswick County,North Carolina,1799056,750102,812952,236002
295,Brunswick County,Virginia,190108,42274,39524,108310
296,Bryan County,Georgia,572112,220046,221800,130266
297,Bryan County,Oklahoma,574666,207176,217150,150340
298,Buchanan County,Iowa,248068,120596,120352,7120
299,Buchanan County,Missouri,1005266,440412,441684,123170
300,Buchanan County,Virginia,234842,110964,110234,13644
301,Buckingham County,Virginia,203410,69984,59956,73470
302,Bucks County,Pennsylvania,7767642,3351940,3418550,997152
303,Buena Vista County,Iowa,249186,100662,99266,49258
304,Buena Vista city,Virginia,79216,33284,37914,8018
305,Buffalo County,Nebraska,605972,285864,287062,33046
306,Buffalo County,South Dakota,22668,1890,1752,19026
307,Buffalo County,Wisconsin,160562,79176,76736,4650
308,Bullitt County,Kentucky,1004718,476286,479184,49248
309,Bulloch County,Georgia,986112,327386,324702,334024
310,Bullock County,Alabama,121292,19056,11824,90412
311,Buncombe County,North Carolina,3282448,1413626,1517514,351308
312,Bureau County,Illinois,395208,187408,190406,17394
313,Burke County,Georgia,293892,73318,74918,145656
314,Burke County,North Carolina,1053062,444972,458796,149294
315,Burke County,North Dakota,25946,13018,11470,1458
316,Burleigh County,North Dakota,1202914,537300,538374,127240
317,Burleson County,Texas,223852,93480,95216,35156
318,Burlington County,New Jersey,5601766,1985824,2017384,1598558
319,Burnet County,Texas,624766,287710,298054,39002
320,Burnett County,Wisconsin,202212,95206,90718,16288
321,Burt County,Nebraska,80832,38606,37482,4744
322,Butler County,Alabama,224392,56136,59910,108346
323,Butler County,Iowa,171354,82914,83226,5214
