county_name,state_name,median_income
Newton County,Georgia,73732
Oconee County,Georgia,115925
Oglethorpe County,Georgia,69784
Paulding County,Georgia,94557
Peach County,Georgia,68365
Pickens County,Georgia,75293
Pierce County,Georgia,56691
Pike County,Georgia,84184
Polk County,Georgia,55308
Pulaski County,Georgia,47688
Putnam County,Georgia,64163
Quitman County,Georgia,36838
Rabun County,Georgia,61466
Randolph County,Georgia,25425
Richmond County,Georgia,53197
Rockdale County,Georgia,72349
Schley County,Georgia,59647
Screven County,Georgia,53017
Seminole County,Georgia,49559
Spalding County,Georgia,60217
Stephens County,Georgia,52264
Stewart County,Georgia,35000
Sumter County,Georgia,41877
Talbot County,Georgia,45098
Taliaferro County,Georgia,48036
Tattnall County,Georgia,52351
Taylor County,Georgia,41743
Telfair County,Georgia,44948
Terrell County,Georgia,43812
Thomas County,Georgia,60140
Tift County,Georgia,53165
Toombs County,Georgia,54130
Towns County,Georgia,58400
Treutlen County,Georgia,43750
Troup County,Georgia,54905
Turner County,Georgia,39565
Twiggs County,Georgia,55439
Union County,Georgia,65697
Upson County,Georgia,50904
Walker County,Georgia,55887
Walton County,Georgia,82381
Ware County,Georgia,44833
Warren County,Georgia,46776
Washington County,Georgia,44009
Wayne County,Georgia,49562
Webster County,Georgia,40764
Wheeler County,Georgia,45262
White County,Georgia,69747
Whitfield County,Georgia,64262
Wilcox County,Georgia,48036
Wilkes County,Georgia,52542
Wilkinson County,Georgia,46673
Worth County,Georgia,57201
Hawaii County,Hawaii,77215
Honolulu County,Hawaii,104264
Kalawao County,Hawaii,86250
Kauai County,Hawaii,93612
Maui County,Hawaii,95076
Ada County,Idaho,88907
Adams County,Idaho,59286
Bannock County,Idaho,64080
Bear Lake County,Idaho,67304
Benewah County,Idaho,56553
Bingham County,Idaho,76842
Blaine County,Idaho,84470
Boise County,Idaho,77349
Bonner County,Idaho,65168
Bonneville County,Idaho,76646
Boundary County,Idaho,62438
Butte County,Idaho,43281
Camas County,Idaho,55536
Canyon County,Idaho,72355
Caribou County,Idaho,66653
Cassia County,Idaho,67042
Clark County,Idaho,52083
Clearwater County,Idaho,57961
Custer County,Idaho,56957
Elmore County,Idaho,58976
Franklin County,Idaho,65991
Fremont County,Idaho,72767
Gem County,Idaho,66245
Gooding County,Idaho,62395
Idaho County,Idaho,60975
Jefferson County,Idaho,82952
Jerome County,Idaho,69338
Kootenai County,Idaho,77034
Latah County,Idaho,65179
Lemhi County,Idaho,52057
Lewis County,Idaho,49643
Lincoln County,Idaho,66038
Madison County,Idaho,58259
Minidoka County,Idaho,70060
Nez Perce County,Idaho,71466
Oneida County,Idaho,72563
Owyhee County,Idaho,59773
Payette County,Idaho,65723
Power County,Idaho,59760
Shoshone County,Idaho,49975
Teton County,Idaho,90740
Twin Falls County,Idaho,65338
Valley County,Idaho,76125
Washington County,Idaho,53608
Adams County,Illinois,64962
Alexander County,Illinois,43523
Bond County,Illinois,61603
Boone County,Illinois,81638
Brown County,Illinois,72288
Bureau County,Illinois,65894
Calhoun County,Illinois,92095
Carroll County,Illinois,60871
Cass County,Illinois,64907
Champaign County,Illinois,63091
Christian County,Illinois,59253
Clark County,Illinois,70625
Clay County,Illinois,57266
Clinton County,Illinois,82314
Coles County,Illinois,56040
Cook County,Illinois,81797
Crawford County,Illinois,67614
Cumberland County,Illinois,69826
DeKalb County,Illinois,69022
De Witt County,Illinois,64802
Douglas County,Illinois,74186
DuPage County,Illinois,110502
Edgar County,Illinois,56909
Edwards County,Illinois,59386
Effingham County,Illinois,75380
Fayette County,Illinois,57113
Ford County,Illinois,60782
Franklin County,Illinois,53471
Fulton County,Illinois,58617
Gallatin County,Illinois,54626
Greene County,Illinois,60976
Grundy County,Illinois,93060
Hamilton County,Illinois,61520
Hancock County,Illinois,65044
Hardin County,Illinois,57155
Henderson County,Illinois,65651
Henry County,Illinois,69912
Iroquois County,Illinois,62439
Jackson County,Illinois,45572
Jasper County,Illinois,71094
Jefferson County,Illinois,61102
Jersey County,Illinois,79104
Jo Daviess County,Illinois,74954
Johnson County,Illinois,65203
Kane County,Illinois,100678
Kankakee County,Illinois,68325
Kendall County,Illinois,110474
Knox County,Illinois,53291
Lake County,Illinois,108917
LaSalle County,Illinois,72281
Lawrence County,Illinois,53438
Lee County,Illinois,68459
Livingston County,Illinois,70796
Logan County,Illinois,64188
McDonough County,Illinois,50434
McHenry County,Illinois,102836
McLean County,Illinois,78329
Macon County,Illinois,62449
Macoupin County,Illinois,68518
Madison County,Illinois,74800
Marion County,Illinois,60839
Marshall County,Illinois,69818
Mason County,Illinois,62127
Massac County,Illinois,62584
Menard County,Illinois,81334
Mercer County,Illinois,71710
Monroe County,Illinois,101635
Montgomery County,Illinois,61863
Morgan County,Illinois,65175
Moultrie County,Illinois,71676
Ogle County,Illinois,79244
Peoria County,Illinois,64938
Perry County,Illinois,59286
Piatt County,Illinois,87516
Pike County,Illinois,58029
Pope County,Illinois,62500
Pulaski County,Illinois,43227
Putnam County,Illinois,77526
Randolph County,Illinois,68870
Richland County,Illinois,60404
Rock Island County,Illinois,66768
St. Clair County,Illinois,70178
Saline County,Illinois,54945
Sangamon County,Illinois,74114
Schuyler County,Illinois,66059
Scott County,Illinois,73013
Shelby County,Illinois,68457
Stark County,Illinois,62284
Stephenson County,Illinois,61943
Tazewell County,Illinois,76704
Union County,Illinois,56420
Vermilion County,Illinois,54537
Wabash County,Illinois,53650
Warren County,Illinois,64650
Washington County,Illinois,75652
Wayne County,Illinois,53107
White County,Illinois,53097
Whiteside County,Illinois,64536
Will County,Illinois,107799
Williamson County,Illinois,65521
Winnebago County,Illinois,64363
Woodford County,Illinois,85629
Adams County,Indiana,63128
Allen County,Indiana,68839
Bartholomew County,Indiana,80365
Benton County,Indiana,61811
Blackford County,Indiana,47560
Boone County,Indiana,104865
Brown County,Indiana,72644
Carroll County,Indiana,64003
Cass County,Indiana,56525
Clark County,Indiana,72298
Clay County,Indiana,67676
Clinton County,Indiana,63690
Crawford County,Indiana,48993
Daviess County,Indiana,68561
Dearborn County,Indiana,82693
Decatur County,Indiana,74228
DeKalb County,Indiana,70080
Delaware County,Indiana,56932
Dubois County,Indiana,71918
Elkhart County,Indiana,65617
Fayette County,Indiana,56659
Floyd County,Indiana,78179
Fountain County,Indiana,62526
Franklin County,Indiana,79702
Fulton County,Indiana,62878
Gibson County,Indiana,67763
Grant County,Indiana,54007
Greene County,Indiana,59753
Hamilton County,Indiana,117957
Hancock County,Indiana,91326
Harrison County,Indiana,72468
Hendricks County,Indiana,99988
Henry County,Indiana,60144
Howard County,Indiana,62496
Huntington County,Indiana,62734
Jackson County,Indiana,70208
Jasper County,Indiana,79634
Jay County,Indiana,54114
Jefferson County,Indiana,59987
Jennings County,Indiana,68476
Johnson County,Indiana,87227
Knox County,Indiana,58863
Kosciusko County,Indiana,73922
LaGrange County,Indiana,83741
Lake County,Indiana,68985
LaPorte County,Indiana,70452
Lawrence County,Indiana,65551
Madison County,Indiana,62632
Marion County,Indiana,63450
Marshall County,Indiana,68041
Martin County,Indiana,65345
Miami County,Indiana,61130
Monroe County,Indiana,63372
Montgomery County,Indiana,66571
Morgan County,Indiana,79088
Newton County,Indiana,68596
Noble County,Indiana,70908
Ohio County,Indiana,67942
Orange County,Indiana,64758
Owen County,Indiana,59586
Parke County,Indiana,66776
Perry County,Indiana,61099
Pike County,Indiana,66250
Porter County,Indiana,85828
Posey County,Indiana,79124
Pulaski County,Indiana,59956
Putnam County,Indiana,76182
Randolph County,Indiana,61121
Ripley County,Indiana,71084
Rush County,Indiana,64393
St. Joseph County,Indiana,64885
Scott County,Indiana,54583
Shelby County,Indiana,71301
Spencer County,Indiana,70890
Starke County,Indiana,62933
Steuben County,Indiana,71483
Sullivan County,Indiana,54985
Switzerland County,Indiana,65148
Tippecanoe County,Indiana,58622
Tipton County,Indiana,78309
Union County,Indiana,79500
Vanderburgh County,Indiana,60938
Vermillion County,Indiana,59363
Vigo County,Indiana,52525
Wabash County,Indiana,68414
Warren County,Indiana,74635
Warrick County,Indiana,95027
Washington County,Indiana,61358
Wayne County,Indiana,56652
Wells County,Indiana,69741
White County,Indiana,66143
Whitley County,Indiana,75790
Adair County,Iowa,66176
Adams County,Iowa,68828
Allamakee County,Iowa,66000
Appanoose County,Iowa,51146
Audubon County,Iowa,54152
Benton County,Iowa,84742
Black Hawk County,Iowa,64581
Boone County,Iowa,79741
Bremer County,Iowa,83343
Buchanan County,Iowa,78430
Buena Vista County,Iowa,66564
Butler County,Iowa,69651
Calhoun County,Iowa,66875
Carroll County,Iowa,68528
Cass County,Iowa,61657
Cedar County,Iowa,79080
Cerro Gordo County,Iowa,65537
Cherokee County,Iowa,64478
Chickasaw County,Iowa,73421
Clarke County,Iowa,66821
Clay County,Iowa,64082
Clayton County,Iowa,62326
Clinton County,Iowa,65177
Crawford County,Iowa,65039
Dallas County,Iowa,102349
Davis County,Iowa,79505
Decatur County,Iowa,57146
Delaware County,Iowa,76205
Des Moines County,Iowa,60662
Dickinson County,Iowa,74570
Dubuque County,Iowa,75919
Emmet County,Iowa,65181
Fayette County,Iowa,58764
Floyd County,Iowa,64500
Franklin County,Iowa,63648
Fremont County,Iowa,73750
Greene County,Iowa,59159
Grundy County,Iowa,83617
Guthrie County,Iowa,79981
Hamilton County,Iowa,71750
Hancock County,Iowa,70212
Hardin County,Iowa,64906
