county_name,state_name,state,is_desert
Platte County,Wyoming,WY,False
Washakie County,Wyoming,WY,True
Calhoun County,Alabama,AL,False
Pima County,Arizona,AZ,True
Jackson County,Tennessee,TN,False
Ector County,Texas,TX,True
Caldwell County,Texas,TX,False
Terry County,Texas,TX,False
Licking County,Ohio,OH,False
Warren County,Ohio,OH,False
Muskingum County,Ohio,OH,False
Johnson County,Wyoming,WY,True
Navajo County,Arizona,AZ,True
Polk County,Arkansas,AR,False
Craighead County,Arkansas,AR,False
Wise County,Texas,TX,False
Castro County,Texas,TX,False
McLennan County,Texas,TX,False
Richland County,Ohio,OH,False
Vinton County,Ohio,OH,False
Clinton County,Ohio,OH,False
Morgan County,Ohio,OH,False
Columbia County,Arkansas,AR,True
Archuleta County,Colorado,CO,False
Moffat County,Colorado,CO,False
Baca County,Colorado,CO,True
Milam County,Texas,TX,False
Comal County,Texas,TX,False
Gregg County,Texas,TX,False
Pike County,Ohio,OH,False
Hughes County,Oklahoma,OK,False
Carter County,Oklahoma,OK,False
Stephens County,Oklahoma,OK,False
Sedgwick County,Colorado,CO,True
Chilton County,Alabama,AL,False
Meade County,Kentucky,KY,False
Hansford County,Texas,TX,False
Nolan County,Texas,TX,False
Blanco County,Texas,TX,False
Live Oak County,Texas,TX,False
Gray County,Texas,TX,False
DeWitt County,Texas,TX,False
Murray County,Oklahoma,OK,False
Harmon County,Oklahoma,OK,False
Coal County,Oklahoma,OK,False
Lavaca County,Texas,TX,False
Jim Hogg County,Texas,TX,True
Briscoe County,Texas,TX,False
Reagan County,Texas,TX,True
La Salle County,Texas,TX,True
Hartley County,Texas,TX,True
Borden County,Texas,TX,False
Washington County,Oregon,OR,False
Yamhill County,Oregon,OR,False
Bollinger County,Missouri,MO,False
Montgomery County,Missouri,MO,False
Reynolds County,Missouri,MO,False
Daniels County,Montana,MT,False
Wheeler County,Oregon,OR,True
Butler County,Pennsylvania,PA,False
Colfax County,Nebraska,NE,False
Saunders County,Nebraska,NE,False
Carbon County,Pennsylvania,PA,False
Luzerne County,Pennsylvania,PA,False
Dawson County,Nebraska,NE,False
Fillmore County,Nebraska,NE,False
Morrill County,Nebraska,NE,False
Webster County,Nebraska,NE,False
Mifflin County,Pennsylvania,PA,False
Forest County,Pennsylvania,PA,False
Oliver County,North Dakota,ND,False
Rio Blanco County,Colorado,CO,False
Logan County,Colorado,CO,True
Wayne County,Nebraska,NE,False
Gosper County,Nebraska,NE,False
Garden County,Nebraska,NE,True
Edgefield County,South Carolina,SC,False
Fairfield County,South Carolina,SC,False
Buchanan County,Iowa,IA,False
Greene County,Iowa,IA,False
Guthrie County,Iowa,IA,False
Cass County,Iowa,IA,False
