county_name,state,mobility_rate
Randolph County,NC,0.1292
Rolette County,ND,0.1289
Unicoi County,TN,0.1286
Sampson County,NC,0.1282
Wayne County,NC,0.128
Tillman County,OK,0.1278
Marion County,TN,0.1278
Webb County,TX,0.1276
Stewart County,TN,0.1273
Person County,NC,0.1272
Henry County,TN,0.1272
Highland County,OH,0.1265
Brown County,OH,0.1262
Tipton County,TN,0.1261
Obion County,TN,0.126
Hamblen County,TN,0.1259
Rockingham County,NC,0.1257
Pasquotank County,NC,0.1253
Mitchell County,NC,0.1251
Sequoyah County,OK,0.1251
Starr County,TX,0.1246
Lawrence County,TN,0.1242
Cleveland County,NC,0.1241
Hidalgo County,TX,0.1241
Harnett County,NC,0.124
McNairy County,TN,0.124
Delaware County,OK,0.1239
Alexander County,NC,0.1237
Maverick County,TX,0.1236
Perquimans County,NC,0.1235
Onslow County,NC,0.123
Jefferson County,TN,0.1226
Presidio County,TX,0.1225
Yancey County,NC,0.122
Gibson County,TN,0.122
White County,TN,0.122
Seminole County,OK,0.1216
Darlington County,SC,0.1216
Perry County,TN,0.1216
Jackson County,OH,0.1208
Trousdale County,TN,0.1206
Meigs County,TN,0.1193
Rhea County,TN,0.1192
Franklin County,NC,0.1188
Alleghany County,NC,0.1185
Burke County,NC,0.1185
Marion County,TX,0.1185
Houston County,TN,0.1183
Cameron County,TX,0.1181
Frio County,TX,0.118
Hocking County,OH,0.1179
Caldwell County,TX,0.1179
Dimmit County,TX,0.1178
Brunswick County,NC,0.1174
La Salle County,TX,0.1174
Greene County,NC,0.1173
Edgefield County,SC,0.1171
Jackson County,TN,0.117
McIntosh County,OK,0.1163
Lewis County,TN,0.1162
Warren County,TN,0.1162
Fayette County,OH,0.1161
Henderson County,TN,0.1161
Okfuskee County,OK,0.1158
Richmond County,NC,0.1153
Pike County,OH,0.1152
McCurtain County,OK,0.1149
Saluda County,SC,0.1148
Sumter County,SC,0.1148
Wayne County,TN,0.1148
Caldwell County,NC,0.1147
Cumberland County,NC,0.1147
Bertie County,NC,0.114
Overton County,TN,0.1139
McDowell County,NC,0.1135
Fayette County,TN,0.1135
Sevier County,TN,0.1133
Caswell County,NC,0.1131
Duplin County,NC,0.1126
Greenwood County,SC,0.1126
Rutherford County,NC,0.1124
Choctaw County,OK,0.1115
Pender County,NC,0.1107
Cherokee County,NC,0.1104
Washington County,NC,0.1103
Polk County,TN,0.1102
Monroe County,TN,0.1094
Hawkins County,TN,0.1088
Lenoir County,NC,0.1086
Barnwell County,SC,0.1086
Lancaster County,SC,0.1079
Vinton County,OH,0.1078
Sequatchie County,TN,0.1075
San Augustine County,TX,0.1072
Martin County,NC,0.1067
Calhoun County,SC,0.1056
Chesterfield County,SC,0.1055
Halifax County,NC,0.105
Columbus County,NC,0.1049
Clarendon County,SC,0.1046
Hickman County,TN,0.1045
Cherokee County,SC,0.1042
Laurens County,SC,0.1041
Lauderdale County,TN,0.1039
Hertford County,NC,0.1038
Grainger County,TN,0.1037
Bladen County,NC,0.1032
Macon County,TN,0.1031
Swain County,NC,0.1015
Northampton County,NC,0.1013
Hampton County,SC,0.1012
Montgomery County,NC,0.101
Ashe County,NC,0.1003
Willacy County,TX,0.0995
Zavala County,TX,0.0989
Orangeburg County,SC,0.0984
Hancock County,TN,0.0981
Kimble County,TX,0.0978
Vance County,NC,0.0977
Abbeville County,SC,0.0977
Colleton County,SC,0.0976
Greene County,TN,0.0946
Anson County,NC,0.0944
Madison County,NC,0.0927
Union County,TN,0.0917
Warren County,NC,0.0886
Scotland County,NC,0.0884
Fentress County,TN,0.0858
Chester County,SC,0.0842
Haywood County,TN,0.084
Fairfield County,SC,0.0835
Hardeman County,TN,0.0825
McCormick County,SC,0.082
Union County,SC,0.0808
Scott County,TN,0.0808
Dillon County,SC,0.08
Robeson County,NC,0.0782
Bamberg County,SC,0.0769
Edgecombe County,NC,0.0762
Williamsburg County,SC,0.0747
Van Buren County,TN,0.0743
Adair County,OK,0.0716
Jasper County,SC,0.0707
Marion County,SC,0.07
Lake County,TN,0.0686
Johnson County,TN,0.0682
Grundy County,TN,0.0659
Marlboro County,SC,0.0618
Lee County,SC,0.0614
Allendale County,SC,0.04
,,
Burke County,ND,0.4572
Fairfax County,VA,0.3916
Loudoun County,VA,0.3543
Fairfax city,VA,0.3176
Poquoson city,VA,0.3097
Arlington County,VA,0.2923
Manassas city,VA,0.2906
King County,WA,0.284
James City County,VA,0.2821
York County,VA,0.2769
Albemarle County,VA,0.2765
Prince William County,VA,0.2752
Fauquier County,VA,0.2745
Stafford County,VA,0.2727
Whitman County,WA,0.2725
Hanover County,VA,0.2677
Goochland County,VA,0.263
Monongalia County,WV,0.2617
Chesterfield County,VA,0.2588
Colonial Heights city,VA,0.2588
Roanoke County,VA,0.2528
Marshall County,WV,0.2493
Kittitas County,WA,0.2489
Snohomish County,WA,0.2479
Alexandria city,VA,0.2448
Ohio County,WV,0.2411
Harrison County,WV,0.24
Clarke County,VA,0.239
Benton County,WA,0.2381
Williamsburg city,VA,0.2353
Pleasants County,WV,0.2353
King George County,VA,0.2325
Whatcom County,WA,0.2319
Calhoun County,WV,0.2312
Henrico County,VA,0.2298
Marion County,WV,0.2298
Spotsylvania County,VA,0.2285
Winchester city,VA,0.2259
San Juan County,WA,0.2205
Putnam County,WV,0.2202
New Kent County,VA,0.2189
Montgomery County,VA,0.2185
Chelan County,WA,0.2174
Kitsap County,WA,0.2164
Frederick County,VA,0.2151
Botetourt County,VA,0.2147
Radford city,VA,0.212
Thurston County,WA,0.212
Brooke County,WV,0.212
Bedford County,VA,0.2111
Douglas County,WA,0.2108
Clark County,WA,0.2091
Skagit County,WA,0.2081
Pierce County,WA,0.208
Island County,WA,0.2075
Spokane County,WA,0.2062
Hancock County,WV,0.2056
Powhatan County,VA,0.2052
Alleghany County,VA,0.2051
Jefferson County,WA,0.2042
Virginia Beach city,VA,0.2039
Adams County,WA,0.2025
Cowlitz County,WA,0.2024
Pacific County,WA,0.1994
Salem city,VA,0.1992
Tyler County,WV,0.1976
Harrisonburg city,VA,0.1975
Warren County,VA,0.1971
Grant County,WA,0.1952
King William County,VA,0.1946
Tazewell County,VA,0.1943
Charlottesville city,VA,0.1943
Culpeper County,VA,0.1939
Kanawha County,WV,0.1937
Gloucester County,VA,0.1928
Stevens County,WA,0.1924
Lewis County,WV,0.1917
Lewis County,WA,0.1915
Upshur County,WV,0.1914
Buchanan County,VA,0.1909
Preston County,WV,0.1906
Skamania County,WA,0.1897
Walla Walla County,WA,0.1892
Raleigh County,WV,0.188
Prince George County,VA,0.1871
Grays Harbor County,WA,0.187
Isle of Wight County,VA,0.1869
Shenandoah County,VA,0.1869
Klickitat County,WA,0.1866
Tucker County,WV,0.1857
Asotin County,WA,0.1854
Boone County,WV,0.1854
Rockingham County,VA,0.1852
Middlesex County,VA,0.1849
Braxton County,WV,0.1848
Pend Oreille County,WA,0.1846
Campbell County,VA,0.1843
Franklin city,VA,0.1834
Chesapeake city,VA,0.1832
Nicholas County,WV,0.1829
Gilmer County,WV,0.1826
