fips,count,median_earnings,pell_grant_rate,access_score,earnings_score,pell_score,opportunity_score
13215,1,44544.0,0.444,0.015873015873015872,0.3768909688843916,0.49022855250082814,26.648506276477224
13217,1,80137.0,0.1574,0.015873015873015872,0.8270933468251961,0.17378823009826655,30.66136794262451
13219,1,49054.020833333336,0.0,0.015873015873015872,0.4339365144615904,0.0,13.653016068768345
13225,1,36666.0,0.7195,0.015873015873015872,0.2772451302807994,0.794413161090869,32.78466937607069
13243,1,38475.0,0.6235,0.015873015873015872,0.3001264862130028,0.6884177983879873,30.29124917295034
13245,2,40905.0,0.54835,0.031746031746031744,0.33086263597267895,0.6054433035221376,29.359019454685765
13257,1,36630.0,0.1972,0.015873015873015872,0.2767897799139894,0.2177321408855029,15.470578258905404
13261,1,48757.0,0.4066,0.015873015873015872,0.43017961042246394,0.4489345257811638,27.008344721029466
13275,1,49716.0,0.4678,0.015873015873015872,0.4423096382494308,0.5165065695042509,29.399406867531084
13277,1,34996.0,0.3412,0.015873015873015872,0.2561219327093347,0.3767251849398256,19.62033416439544
13281,1,47195.0,0.2106,0.015873015873015872,0.4104224639514293,0.23252732692944686,19.923414361346918
13285,2,45242.5,0.37915,0.031746031746031744,0.38572603086263596,0.4186264767583085,25.400416498469603
13311,1,46700.0,0.1037,0.015873015873015872,0.40416139640779153,0.11449707408634206,16.194674749744642
13313,1,40251.0,0.4977,0.015873015873015872,0.322590437642297,0.5495197085127526,26.79822501957212
16001,2,42399.0,0.3241,0.031746031746031744,0.3497596761952947,0.35784476095837475,22.497974384451354
16005,1,45608.0,0.2684,0.015873015873015872,0.3903491019478877,0.2963453682234736,21.235754740061473
16019,1,42057.0,0.2679,0.015873015873015872,0.34543384771059954,0.29579330904272944,19.871735337520505
16027,3,47226.166666666664,0.2546,0.047619047619047616,0.4108166793152879,0.2811085348349343,22.662518329268572
16057,2,51377.1875,0.1138,0.031746031746031744,0.46332136984568684,0.1256486695373744,18.93894245133311
16065,1,53406.0,0.2487,0.015873015873015872,0.48898305084745763,0.27459423650215303,23.542239255408955
16069,1,46001.0,0.2401,0.015873015873015872,0.39532001011889706,0.2650988185933532,20.44748549628814
16083,1,40916.0,0.1871,0.015873015873015872,0.33100177080698207,0.20658054543447057,16.762390122164213
17001,3,53810.0,0.3519666666666667,0.047619047619047616,0.49409309385277006,0.38861285929851686,28.38594049930051
17005,1,46827.0,0.3766,0.015873015873015872,0.4057677713129269,0.4158109749365132,25.28228302240384
17019,1,81054.0,0.2381,0.015873015873015872,0.8386921325575513,0.2628905818703765,33.68240206775847
17029,1,51989.0,0.3087,0.015873015873015872,0.4710599544649633,0.3408413381914541,24.991959414613156
17031,32,53332.653846153844,0.386425,0.5079365079365079,0.48805532312362565,0.4266589378381363,47.75888814631317
17037,1,57808.0,0.4555,0.015873015873015872,0.5446622818112826,0.5029259136579441,32.062566498997434
17043,6,59069.833333333336,0.26589999999999997,0.09523809523809523,0.5606227337886838,0.29358507231975267,29.4357579927769
17077,1,53390.0,0.3665,0.015873015873015872,0.48878067290665317,0.40465937948548086,27.438122206684657
17083,1,59281.46153846154,0.0,0.015873015873015872,0.5632995388118079,0.0,17.533906799274874
17089,3,53270.0,0.34896666666666665,0.047619047619047616,0.4872628383506198,0.38530050421405176,28.08166218170205
17091,1,53213.0,0.3533,0.015873015873015872,0.4865418669365039,0.39008501711383464,26.93372715643079
