county_name,state_name,population_18_24
Douglas County,Illinois,18291
DuPage County,Illinois,830199
Edgar County,Illinois,13365
Edwards County,Illinois,5151
Effingham County,Illinois,31010
Fayette County,Illinois,18430
Ford County,Illinois,11764
Franklin County,Illinois,31742
Fulton County,Illinois,27399
Gallatin County,Illinois,3827
Greene County,Illinois,9910
Grundy County,Illinois,50139
Hamilton County,Illinois,6935
Hancock County,Illinois,14270
Hardin County,Illinois,2324
Henderson County,Illinois,4748
Henry County,Illinois,41771
Iroquois County,Illinois,22639
Jackson County,Illinois,55193
Jasper County,Illinois,7836
Jefferson County,Illinois,31897
Jersey County,Illinois,18429
Jo Daviess County,Illinois,16153
Johnson County,Illinois,11230
Kane County,Illinois,484734
Kankakee County,Illinois,99017
Kendall County,Illinois,136598
Knox County,Illinois,42338
Lake County,Illinois,671486
LaSalle County,Illinois,94480
Lawrence County,Illinois,12992
Lee County,Illinois,28288
Livingston County,Illinois,31214
Logan County,Illinois,24817
McDonough County,Illinois,27644
McHenry County,Illinois,277870
McLean County,Illinois,175824
Macon County,Illinois,91050
Macoupin County,Illinois,37266
Madison County,Illinois,235599
Marion County,Illinois,32870
Marshall County,Illinois,9440
Mason County,Illinois,10563
Massac County,Illinois,11490
Menard County,Illinois,10366
Mercer County,Illinois,13036
Monroe County,Illinois,29789
Montgomery County,Illinois,23535
Morgan County,Illinois,28151
Moultrie County,Illinois,13357
Ogle County,Illinois,45498
Peoria County,Illinois,166670
Perry County,Illinois,17930
Piatt County,Illinois,14254
Pike County,Illinois,12776
Pope County,Illinois,2624
Pulaski County,Illinois,4328
Putnam County,Illinois,4435
Randolph County,Illinois,25320
Richland County,Illinois,13723
Rock Island County,Illinois,128338
St. Clair County,Illinois,231746
Saline County,Illinois,19171
Sangamon County,Illinois,171772
Schuyler County,Illinois,4888
Scott County,Illinois,4188
Shelby County,Illinois,16969
Stark County,Illinois,4394
Stephenson County,Illinois,36780
Tazewell County,Illinois,114367
Union County,Illinois,14108
Vermilion County,Illinois,65066
Wabash County,Illinois,9737
Warren County,Illinois,15443
Washington County,Illinois,11458
Wayne County,Illinois,13882
White County,Illinois,11649
Whiteside County,Illinois,47204
Will County,Illinois,655891
Williamson County,Illinois,57294
Winnebago County,Illinois,256508
Woodford County,Illinois,35173
Adams County,Indiana,37262
Allen County,Indiana,375953
Bartholomew County,Indiana,77918
Benton County,Indiana,7971
Blackford County,Indiana,10303
Boone County,Indiana,69459
Brown County,Indiana,10723
Carroll County,Indiana,17541
Cass County,Indiana,33633
Clark County,Indiana,108842
Clay County,Indiana,23050
Clinton County,Indiana,31842
Crawford County,Indiana,8289
Daviess County,Indiana,33848
Dearborn County,Indiana,43662
Decatur County,Indiana,23592
DeKalb County,Indiana,39450
Delaware County,Indiana,111570
Dubois County,Indiana,39256
Elkhart County,Indiana,206047
Fayette County,Indiana,20076
Floyd County,Indiana,72406
Fountain County,Indiana,14013
Franklin County,Indiana,19436
Fulton County,Indiana,17871
Gibson County,Indiana,29571
Grant County,Indiana,61660
Greene County,Indiana,25862
Hamilton County,Indiana,342395
Hancock County,Indiana,72877
Harrison County,Indiana,33809
Hendricks County,Indiana,168976
Henry County,Indiana,41214
Howard County,Indiana,73523
Huntington County,Indiana,32801
Jackson County,Indiana,43315
Jasper County,Indiana,29748
Jay County,Indiana,18666
Jefferson County,Indiana,28722
Jennings County,Indiana,24300
Johnson County,Indiana,155177
Knox County,Indiana,33328
Kosciusko County,Indiana,73902
LaGrange County,Indiana,42543
Lake County,Indiana,454377
LaPorte County,Indiana,97364
Lawrence County,Indiana,37923
Madison County,Indiana,115071
Marion County,Indiana,959257
Marshall County,Indiana,42634
Martin County,Indiana,8391
Miami County,Indiana,31391
Monroe County,Indiana,151016
Montgomery County,Indiana,34304
Morgan County,Indiana,62055
Newton County,Indiana,11382
Noble County,Indiana,42900
Ohio County,Indiana,4719
Orange County,Indiana,17067
Owen County,Indiana,17200
Parke County,Indiana,13834
Perry County,Indiana,16467
Pike County,Indiana,10315
Porter County,Indiana,155069
Posey County,Indiana,21040
Pulaski County,Indiana,10572
Putnam County,Indiana,34059
Randolph County,Indiana,21228
Ripley County,Indiana,25901
Rush County,Indiana,14486
St. Joseph County,Indiana,262886
Scott County,Indiana,21238
Shelby County,Indiana,39377
Spencer County,Indiana,16642
Starke County,Indiana,20033
Steuben County,Indiana,30162
Sullivan County,Indiana,17306
Switzerland County,Indiana,8819
Tippecanoe County,Indiana,213619
Tipton County,Indiana,12513
Union County,Indiana,5827
Vanderburgh County,Indiana,163942
Vermillion County,Indiana,13208
Vigo County,Indiana,104185
Wabash County,Indiana,26901
Warren County,Indiana,7028
Warrick County,Indiana,57643
Washington County,Indiana,24495
Wayne County,Indiana,59233
Wells County,Indiana,26078
White County,Indiana,21506
Whitley County,Indiana,29631
Adair County,Iowa,6431
Adams County,Iowa,2911
Allamakee County,Iowa,12285
Appanoose County,Iowa,10110
Audubon County,Iowa,4528
Benton County,Iowa,22140
Black Hawk County,Iowa,129548
Boone County,Iowa,22747
Bremer County,Iowa,23796
Buchanan County,Iowa,18861
Buena Vista County,Iowa,20713
Butler County,Iowa,12302
Calhoun County,Iowa,8407
Carroll County,Iowa,18842
Cass County,Iowa,11462
Cedar County,Iowa,15605
Cerro Gordo County,Iowa,35647
Cherokee County,Iowa,9965
Chickasaw County,Iowa,10247
Clarke County,Iowa,8808
Clay County,Iowa,14616
Clayton County,Iowa,13951
Clinton County,Iowa,40169
Crawford County,Iowa,15454
Dallas County,Iowa,103732
Davis County,Iowa,8868
Decatur County,Iowa,7521
Delaware County,Iowa,15215
Des Moines County,Iowa,33775
Dickinson County,Iowa,13877
Dubuque County,Iowa,91679
Emmet County,Iowa,7961
Fayette County,Iowa,16631
Floyd County,Iowa,13399
Franklin County,Iowa,8773
Fremont County,Iowa,5429
Greene County,Iowa,7457
Grundy County,Iowa,10975
Guthrie County,Iowa,8601
Hamilton County,Iowa,13169
Hancock County,Iowa,9052
Hardin County,Iowa,13844
Harrison County,Iowa,12718
Henry County,Iowa,18159
Howard County,Iowa,8682
Humboldt County,Iowa,8499
Ida County,Iowa,6259
Iowa County,Iowa,14412
Jackson County,Iowa,16184
Jasper County,Iowa,33505
Jefferson County,Iowa,12581
Johnson County,Iowa,168175
Jones County,Iowa,17445
Keokuk County,Iowa,8679
Kossuth County,Iowa,12461
Lee County,Iowa,27589
Linn County,Iowa,212192
Louisa County,Iowa,9436
Lucas County,Iowa,7373
Lyon County,Iowa,11868
Madison County,Iowa,15156
Mahaska County,Iowa,20527
Marion County,Iowa,31433
Marshall County,Iowa,37768
Mills County,Iowa,12670
Mitchell County,Iowa,9390
Monona County,Iowa,7285
Monroe County,Iowa,6577
Montgomery County,Iowa,8695
Muscatine County,Iowa,39125
O'Brien County,Iowa,12960
Osceola County,Iowa,5242
Page County,Iowa,12432
Palo Alto County,Iowa,8148
Plymouth County,Iowa,23556
Pocahontas County,Iowa,6062
Polk County,Iowa,480235
Pottawattamie County,Iowa,84653
Poweshiek County,Iowa,17363
Ringgold County,Iowa,4020
Sac County,Iowa,8218
Scott County,Iowa,160097
Shelby County,Iowa,10046
Sioux County,Iowa,38155
Story County,Iowa,116991
