county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Kidder County,North Dakota,1647,350,21.25075895567699
LaMoure County,North Dakota,2896,701,24.205801104972377
Logan County,North Dakota,1350,354,26.222222222222225
McHenry County,North Dakota,3720,777,20.887096774193548
McIntosh County,North Dakota,1988,338,17.002012072434606
McKenzie County,North Dakota,8927,2035,22.79601209812927
McLean County,North Dakota,7152,1707,23.86744966442953
Mercer County,North Dakota,5929,1338,22.567043346264125
Morton County,North Dakota,23058,6746,29.256657125509584
Mountrail County,North Dakota,6094,1363,22.36626189694782
Nelson County,North Dakota,2259,636,28.15405046480744
Oliver County,North Dakota,1251,256,20.46362909672262
Pembina County,North Dakota,4915,1127,22.929806714140387
Pierce County,North Dakota,2816,786,27.911931818181817
Ramsey County,North Dakota,7958,2200,27.64513696908771
Ransom County,North Dakota,3932,824,20.956256358087487
Renville County,North Dakota,1570,346,22.038216560509554
Richland County,North Dakota,10736,2682,24.981371087928466
Rolette County,North Dakota,7128,1181,16.568462401795735
Sargent County,North Dakota,2782,531,19.086987778576564
Sheridan County,North Dakota,1032,209,20.251937984496124
Sioux County,North Dakota,2068,231,11.170212765957446
Slope County,North Dakota,619,141,22.778675282714055
Stark County,North Dakota,21357,5802,27.166736901250175
Steele County,North Dakota,1261,373,29.579698651863602
Stutsman County,North Dakota,14849,3627,24.4258872651357
Towner County,North Dakota,1507,285,18.91174518911745
Traill County,North Dakota,5427,1694,31.21429887599042
Walsh County,North Dakota,7283,1423,19.538651654537965
Ward County,North Dakota,44431,13180,29.66397335193896
Wells County,North Dakota,2746,611,22.250546249089584
Williams County,North Dakota,24655,5854,23.743662543094707
Adams County,Ohio,18784,2677,14.25149063032368
Allen County,Ohio,68410,13637,19.93422014325391
Ashland County,Ohio,35936,7929,22.06422528940338
Ashtabula County,Ohio,68600,10956,15.970845481049562
Athens County,Ohio,36357,12880,35.42646532992271
Auglaize County,Ohio,31572,6553,20.75573292791081
Belmont County,Ohio,48385,9057,18.71861113981606
Brown County,Ohio,30555,4821,15.778105056455571
Butler County,Ohio,251466,81803,32.53044149109621
Carroll County,Ohio,19265,2703,14.030625486633792
Champaign County,Ohio,27314,5219,19.107417441605037
Clark County,Ohio,93570,17344,18.535855509244417
Clermont County,Ohio,146601,46021,31.392009604300107
Clinton County,Ohio,28257,5667,20.055207559188872
Columbiana County,Ohio,73257,11747,16.035327681996257
Coshocton County,Ohio,25239,4227,16.747890169975037
Crawford County,Ohio,29399,4558,15.503928705057996
Cuyahoga County,Ohio,888011,318951,35.91746048190845
Darke County,Ohio,35424,5839,16.48317524841915
Defiance County,Ohio,26331,5297,20.116972389958605
Delaware County,Ohio,147319,85499,58.03664157372776
Erie County,Ohio,54299,15163,27.925007827031806
Fairfield County,Ohio,109647,34987,31.90876175362755
Fayette County,Ohio,19788,2739,13.841722255912675
Franklin County,Ohio,887325,372415,41.970529400163414
Fulton County,Ohio,29303,5520,18.83766167286626
Gallia County,Ohio,19831,3550,17.901265695123797
Geauga County,Ohio,66426,25723,38.724294703881014
Greene County,Ohio,114438,47248,41.286985092364425
Guernsey County,Ohio,26939,4135,15.349493299677047
Hamilton County,Ohio,560573,231851,41.35964450660307
Hancock County,Ohio,51402,15283,29.732306135948015
Hardin County,Ohio,18582,3508,18.878484554945647
Harrison County,Ohio,10438,1355,12.981414063996935
Henry County,Ohio,19112,3568,18.668899120971115
Highland County,Ohio,29648,4626,15.603076092822448
Hocking County,Ohio,19839,2848,14.355562276324413
Holmes County,Ohio,26437,2896,10.95434429019934
Huron County,Ohio,39812,6746,16.94463980709334
Jackson County,Ohio,22414,3724,16.61461586508432
Jefferson County,Ohio,46058,9468,20.55668939163663
Knox County,Ohio,41507,10105,24.345291155708676
Lake County,Ohio,168893,51559,30.52761215680934
Lawrence County,Ohio,40586,7540,18.57783472133248
Licking County,Ohio,123060,36033,29.280838615309605
Logan County,Ohio,32207,5893,18.297264569814015
Lorain County,Ohio,220277,61447,27.89533178679572
Lucas County,Ohio,292306,83308,28.500270264722584
Madison County,Ohio,31985,7149,22.351102079099576
Mahoning County,Ohio,162557,42851,26.360599666578494
Marion County,Ohio,45947,6294,13.698391625133304
Medina County,Ohio,129741,47027,36.24683022329101
Meigs County,Ohio,15830,1865,11.781427668982944
Mercer County,Ohio,27956,6194,22.156245528687936
Miami County,Ohio,76153,18980,24.92350925111289
Monroe County,Ohio,9615,1032,10.733229329173168
Montgomery County,Ohio,367919,112293,30.52112013785643
Morgan County,Ohio,9857,1400,14.203104392817286
Morrow County,Ohio,24907,4532,18.195687959208254
Muskingum County,Ohio,59220,12036,20.324214792299898
Noble County,Ohio,10927,1502,13.745767365242061
Ottawa County,Ohio,30540,8715,28.536345776031435
Paulding County,Ohio,12991,2044,15.733969671310907
Perry County,Ohio,24557,3693,15.038481899254794
Pickaway County,Ohio,41544,8831,21.256980550741382
Pike County,Ohio,18589,2706,14.556996072946365
Portage County,Ohio,107455,33871,31.521101856591134
Preble County,Ohio,28663,5130,17.897638069985696
Putnam County,Ohio,23012,6052,26.299322092821136
Richland County,Ohio,87633,15670,17.881391713167414
Ross County,Ohio,54654,9349,17.10579280565009
Sandusky County,Ohio,41669,7961,19.105330101514316
Scioto County,Ohio,50933,9143,17.951033710953606
Seneca County,Ohio,37060,7676,20.712358337830544
Shelby County,Ohio,32127,6622,20.611946337971176
Stark County,Ohio,262124,65486,24.98283255253239
Summit County,Ohio,382643,135020,35.286154457287864
Trumbull County,Ohio,144401,29304,20.293488272241884
Tuscarawas County,Ohio,63945,12528,19.591836734693878
Union County,Ohio,44491,17397,39.10229035085748
Van Wert County,Ohio,19957,3392,16.996542566518013
Vinton County,Ohio,8956,1354,15.118356409111211
Warren County,Ohio,167733,76632,45.68689524422743
Washington County,Ohio,42579,8815,20.702693816200473
Wayne County,Ohio,76835,18990,24.715299017374896
Williams County,Ohio,25867,3682,14.234352650094714
Wood County,Ohio,83333,31137,37.364549458197835
Wyandot County,Ohio,15240,3151,20.675853018372703
Adair County,Oklahoma,12777,1508,11.802457540893792
Alfalfa County,Oklahoma,4342,899,20.70474435743897
Atoka County,Oklahoma,10133,1553,15.326162044804107
Beaver County,Oklahoma,3356,771,22.973778307508937
Beckham County,Oklahoma,15133,2011,13.2888389612106
Blaine County,Oklahoma,6005,1080,17.985012489592005
Bryan County,Oklahoma,31483,7678,24.38776482546136
Caddo County,Oklahoma,18165,2810,15.46930911092761
Canadian County,Oklahoma,107833,34242,31.754657665093244
Carter County,Oklahoma,32280,6457,20.003097893432468
Cherokee County,Oklahoma,30632,9011,29.41694959519457
Choctaw County,Oklahoma,9717,1481,15.241329628486158
Cimarron County,Oklahoma,1535,486,31.66123778501629
Cleveland County,Oklahoma,191179,68104,35.62315944742885
Coal County,Oklahoma,3565,600,16.830294530154276
Comanche County,Oklahoma,78537,18983,24.170773011446833
Cotton County,Oklahoma,3848,806,20.945945945945947
Craig County,Oklahoma,9918,1475,14.871949989917322
Creek County,Oklahoma,49584,9124,18.40109712810584
Custer County,Oklahoma,16639,5545,33.32532003125188
Delaware County,Oklahoma,30011,5766,19.21295524974176
Dewey County,Oklahoma,2848,563,19.76825842696629
Ellis County,Oklahoma,2598,519,19.97690531177829
Garfield County,Oklahoma,40397,9009,22.301160977300295
Garvin County,Oklahoma,17305,3060,17.682750650101127
Grady County,Oklahoma,37972,8331,21.93985041609607
Grant County,Oklahoma,2872,653,22.73676880222841
Greer County,Oklahoma,3985,608,15.257214554579674
Harmon County,Oklahoma,1709,278,16.266822703335286
Harper County,Oklahoma,2192,584,26.642335766423358
Haskell County,Oklahoma,8025,1222,15.22741433021807
Hughes County,Oklahoma,9369,1415,15.10299925285516
Jackson County,Oklahoma,15910,3850,24.198617221873036
Jefferson County,Oklahoma,3654,575,15.736179529282978
Johnston County,Oklahoma,6836,1459,21.342890579286134
Kay County,Oklahoma,28985,5369,18.523374159047783
Kingfisher County,Oklahoma,9877,2254,22.820694542877394
Kiowa County,Oklahoma,5840,1076,18.424657534246574
Latimer County,Oklahoma,6523,679,10.409320864632837
Le Flore County,Oklahoma,32729,4853,14.827828531271962
Lincoln County,Oklahoma,23403,3621,15.47237533649532
Logan County,Oklahoma,34264,10436,30.457623161335512
Love County,Oklahoma,6857,1095,15.969082689222692
McClain County,Oklahoma,29340,8228,28.043626448534425
McCurtain County,Oklahoma,20301,3150,15.516477020836412
McIntosh County,Oklahoma,14125,2040,14.442477876106194
Major County,Oklahoma,5206,935,17.960046100653095
Marshall County,Oklahoma,10793,1828,16.936903548596312
Mayes County,Oklahoma,27086,4458,16.458687144650373
Murray County,Oklahoma,9585,1706,17.798643714136674
Muskogee County,Oklahoma,44269,8424,19.029117441098737
Noble County,Oklahoma,7545,1530,20.278330019880716
